Zeta Potential,Power
-1.46e+2,6.83e-6
-1.45e+2,5.80e-6
-1.44e+2,4.05e-6
-1.42e+2,2.56e-6
-1.41e+2,2.53e-6
-1.39e+2,4.31e-6
-1.38e+2,7.91e-6
-1.36e+2,1.25e-5
-1.35e+2,1.64e-5
-1.34e+2,1.92e-5
-1.32e+2,2.07e-5
-1.31e+2,1.93e-5
-1.29e+2,1.52e-5
-1.28e+2,1.21e-5
-1.26e+2,1.24e-5
-1.25e+2,1.48e-5
-1.24e+2,1.90e-5
-1.22e+2,2.73e-5
-1.21e+2,3.65e-5
-1.19e+2,4.09e-5
-1.18e+2,4.71e-5
-1.16e+2,7.46e-5
-1.15e+2,1.23e-4
-1.14e+2,1.64e-4
-1.12e+2,1.89e-4
-1.11e+2,2.20e-4
-1.09e+2,2.52e-4
-1.08e+2,2.47e-4
-1.06e+2,1.99e-4
-1.05e+2,1.36e-4
-1.04e+2,8.97e-5
-1.02e+2,1.05e-4
-1.01e+2,2.11e-4
-9.93e+1,3.54e-4
-9.79e+1,4.31e-4
-9.65e+1,4.39e-4
-9.50e+1,4.70e-4
-9.36e+1,5.45e-4
-9.22e+1,6.32e-4
-9.07e+1,7.59e-4
-8.93e+1,1.04e-3
-8.79e+1,1.94e-3
-8.65e+1,4.23e-3
-8.50e+1,8.14e-3
-8.36e+1,1.33e-2
-8.22e+1,1.87e-2
-8.08e+1,2.34e-2
-7.93e+1,3.27e-2
-7.79e+1,5.13e-2
-7.65e+1,6.71e-2
-7.50e+1,7.03e-2
-7.36e+1,9.18e-2
-7.22e+1,1.70e-1
-7.08e+1,2.82e-1
-6.93e+1,3.95e-1
-6.79e+1,5.34e-1
-6.65e+1,7.02e-1
-6.50e+1,8.42e-1
-6.36e+1,9.21e-1
-6.22e+1,8.94e-1
-6.08e+1,7.28e-1
-5.93e+1,5.58e-1
-5.79e+1,5.77e-1
-5.65e+1,7.94e-1
-5.50e+1,1.00e+0
-5.36e+1,9.46e-1
-5.22e+1,6.32e-1
-5.08e+1,3.13e-1
-4.93e+1,1.63e-1
-4.79e+1,1.24e-1
-4.65e+1,9.16e-2
-4.51e+1,5.18e-2
-4.36e+1,3.17e-2
-4.22e+1,3.00e-2
-4.08e+1,2.93e-2
-3.93e+1,2.36e-2
-3.79e+1,1.98e-2
-3.65e+1,2.41e-2
-3.51e+1,3.00e-2
-3.36e+1,2.68e-2
-3.22e+1,1.53e-2
-3.08e+1,5.58e-3
-2.93e+1,1.64e-3
-2.79e+1,8.22e-4
-2.65e+1,6.57e-4
-2.51e+1,6.60e-4
-2.36e+1,7.77e-4
-2.22e+1,8.28e-4
-2.08e+1,6.83e-4
-1.93e+1,4.43e-4
-1.79e+1,2.75e-4
-1.65e+1,2.16e-4
-1.51e+1,2.24e-4
-1.36e+1,2.32e-4
-1.22e+1,1.88e-4
-1.08e+1,1.17e-4
-9.35e+0,9.53e-5
-7.92e+0,1.47e-4
-6.49e+0,2.11e-4
-5.07e+0,2.09e-4
-3.64e+0,1.41e-4
-2.21e+0,1.29e-4
-7.83e-1,3.86e-4
6.45e-1,9.74e-4
